"Status","Year","Ethnicity","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","Male","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","Female","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","Male","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Male","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Female","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","Female","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","Male","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","Female","30","25","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","Male","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Female","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Male","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","Female","10","10","[c]","[c]"
