"Status","Year","Age","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Economics","Female","15","15","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","Male","15","15","[c]","[c]"
"In post","2023","16-19","Analysis","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","Male","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","Male","5","5","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","Female","5","5","[c]","[c]"
"In post","2023","16-19","Communications","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
