"Status","Year","Parent_department","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnet","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Heterosexual / straight","95","90","41780","35550"
"In post","2023","Attorney General's Departments","Berkshire","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Unknown","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","Heterosexual / straight","405","385","40390","38760"
"In post","2023","Attorney General's Departments","Birmingham","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","Unknown","100","90","44230","49530"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bradford","Heterosexual / straight","[c]","[c]","[c]","[c]"
