"Status","Year","Ethnicity","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","Female","Heterosexual / straight","180","170","43310","37180"
"In post","2023","Asian","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Female","Undeclared","15","10","[c]","[c]"
"In post","2023","Asian","Commercial","Female","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Male","Heterosexual / straight","160","155","46880","40690"
"In post","2023","Asian","Commercial","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Female","Heterosexual / straight","105","100","38970","35340"
"In post","2023","Asian","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Male","Heterosexual / straight","50","50","42340","41360"
"In post","2023","Asian","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Female","Heterosexual / straight","385","350","30210","28120"
"In post","2023","Asian","Counter Fraud","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Female","Undeclared","25","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Female","Unknown","65","55","29370","28120"
"In post","2023","Asian","Counter Fraud","Male","Heterosexual / straight","325","320","31720","29070"
"In post","2023","Asian","Counter Fraud","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Male","Unknown","30","30","29890","28500"
"In post","2023","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Female","Heterosexual / straight","570","560","44490","41190"
"In post","2023","Asian","Digital, Data and Technology","Female","LGBO","20","15","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Female","Undeclared","50","50","44740","43070"
"In post","2023","Asian","Digital, Data and Technology","Female","Unknown","45","45","41840","39460"
"In post","2023","Asian","Digital, Data and Technology","Male","Heterosexual / straight","960","950","45660","42140"
"In post","2023","Asian","Digital, Data and Technology","Male","LGBO","35","35","43560","41480"
"In post","2023","Asian","Digital, Data and Technology","Male","Undeclared","45","45","44590","42030"
"In post","2023","Asian","Digital, Data and Technology","Male","Unknown","75","75","42980","37810"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
