"Status","Year","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","London","1710","1680","58580","56000"
"In post","2023","Commercial","Outside London","5835","5625","43930","39590"
"In post","2023","Commercial","Overseas","30","30","67720","60030"
"In post","2023","Commercial","Unknown","10","10","56290","38470"
"In post","2023","Communications","London","1995","1955","49110","44970"
"In post","2023","Communications","Outside London","2110","2010","38840","37300"
"In post","2023","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","70","70","57190","50240"
"In post","2023","Corporate Finance","Outside London","35","30","44150","43890"
"In post","2023","Counter Fraud","London","1975","1865","37160","32540"
"In post","2023","Counter Fraud","Outside London","7620","6980","30300","28120"
"In post","2023","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","5300","5210","51590","48070"
"In post","2023","Digital, Data and Technology","Outside London","17780","17290","42380","39000"
"In post","2023","Digital, Data and Technology","Overseas","40","40","44290","43300"
"In post","2023","Digital, Data and Technology","Unknown","40","35","49110","47950"
"In post","2023","Economics","London","1610","1580","51660","54330"
"In post","2023","Economics","Outside London","550","540","42190","37680"
"In post","2023","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Finance","London","2635","2565","51150","46000"
"In post","2023","Finance","Outside London","7530","7170","40000","36990"
"In post","2023","Finance","Overseas","50","50","50680","48980"
"In post","2023","Finance","Unknown","5","5","[c]","[c]"
"In post","2023","Geography","Outside London","480","455","33030","34370"
"In post","2023","Human Resources","London","2950","2860","48670","43650"
"In post","2023","Human Resources","Outside London","9780","9340","36850","34000"
"In post","2023","Human Resources","Overseas","240","240","56720","56420"
"In post","2023","Human Resources","Unknown","30","30","46060","41510"
"In post","2023","Inspector of Education and Training","London","105","105","69160","72470"
"In post","2023","Inspector of Education and Training","Outside London","985","960","66400","72470"
"In post","2023","Intelligence Analysis","London","1240","1190","40770","37850"
"In post","2023","Intelligence Analysis","Outside London","1965","1885","31270","28480"
"In post","2023","Intelligence Analysis","Overseas","25","25","51620","52700"
"In post","2023","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","200","190","53690","52230"
"In post","2023","Internal Audit","Outside London","545","515","45770","43450"
"In post","2023","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","20","20","49540","44070"
"In post","2023","International Trade","London","1390","1375","50430","46630"
"In post","2023","International Trade","Outside London","585","570","42500","41750"
"In post","2023","International Trade","Overseas","175","175","57480","55370"
"In post","2023","Knowledge and Information Management","London","830","800","41990","38640"
"In post","2023","Knowledge and Information Management","Outside London","1660","1575","33380","30610"
"In post","2023","Knowledge and Information Management","Overseas","10","10","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Legal","London","4640","4375","58100","57020"
"In post","2023","Legal","Outside London","6900","6420","49020","50460"
"In post","2023","Legal","Overseas","10","10","[c]","[c]"
"In post","2023","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","London","340","300","74340","67380"
"In post","2023","Medicine","Outside London","2085","1835","54950","41660"
"In post","2023","Medicine","Overseas","40","35","69930","55350"
"In post","2023","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Operational Delivery","London","34510","32560","35780","32520"
"In post","2023","Operational Delivery","Outside London","237005","216805","29080","28120"
"In post","2023","Operational Delivery","Overseas","285","285","46500","47380"
"In post","2023","Operational Delivery","Unknown","630","590","30880","28120"
"In post","2023","Operational Research","London","395","385","50780","46600"
"In post","2023","Operational Research","Outside London","760","730","40610","39890"
"In post","2023","Other","London","2350","2270","44730","36180"
"In post","2023","Other","Outside London","12150","11280","31240","27740"
"In post","2023","Other","Overseas","15","15","46750","45950"
"In post","2023","Other","Unknown","1715","1715","41880","39590"
"In post","2023","Planning","London","100","100","50200","44470"
"In post","2023","Planning","Outside London","130","120","43190","39690"
"In post","2023","Planning Inspectors","London","30","25","61320","60050"
"In post","2023","Planning Inspectors","Outside London","445","395","58080","60050"
"In post","2023","Policy","London","20585","20095","51990","54130"
"In post","2023","Policy","Outside London","10335","9950","43580","39670"
"In post","2023","Policy","Overseas","2070","2065","53740","54500"
"In post","2023","Policy","Unknown","25","25","45130","39940"
"In post","2023","Project Delivery","London","4620","4510","52440","48570"
"In post","2023","Project Delivery","Outside London","13415","12910","43570","41200"
"In post","2023","Project Delivery","Overseas","75","75","62390","60960"
"In post","2023","Project Delivery","Unknown","15","15","47530","50160"
"In post","2023","Property","London","1075","1035","44130","39740"
"In post","2023","Property","Outside London","5765","5495","36790","34300"
"In post","2023","Property","Overseas","65","65","48250","44680"
"In post","2023","Property","Unknown","45","45","47440","44600"
"In post","2023","Psychology","London","90","90","41770","35160"
"In post","2023","Psychology","Outside London","1495","1430","37770","32420"
"In post","2023","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","London","1130","1095","48090","43420"
"In post","2023","Science and Engineering","Outside London","12100","11680","40780","39890"
"In post","2023","Science and Engineering","Overseas","75","75","57120","57420"
"In post","2023","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2023","Security","London","1595","1565","44700","39880"
"In post","2023","Security","Outside London","7755","7555","33000","29480"
"In post","2023","Security","Overseas","135","135","41360","38550"
