"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","London","AA/AO","50","50","25510","25200"
"In post","2023","Commercial","London","EO","115","110","30780","30950"
"In post","2023","Commercial","London","G6/G7","760","750","66490","66270"
"In post","2023","Commercial","London","SCS level","165","160","120850","117940"
"In post","2023","Commercial","London","SEO/HEO","615","605","40330","40870"
"In post","2023","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Outside London","AA/AO","355","330","23320","22330"
"In post","2023","Commercial","Outside London","EO","640","610","27440","27140"
"In post","2023","Commercial","Outside London","G6/G7","1495","1455","62630","60920"
"In post","2023","Commercial","Outside London","SCS level","125","125","106190","100580"
"In post","2023","Commercial","Outside London","SEO/HEO","3025","2920","38070","38120"
"In post","2023","Commercial","Outside London","Unknown","190","185","42650","42620"
"In post","2023","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6/G7","10","10","78870","85900"
"In post","2023","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO/HEO","15","15","59390","58690"
"In post","2023","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AA/AO","30","30","25340","25450"
"In post","2023","Communications","London","EO","160","155","30150","29660"
"In post","2023","Communications","London","G6/G7","685","665","61360","59510"
"In post","2023","Communications","London","SCS level","90","90","90780","85000"
"In post","2023","Communications","London","SEO/HEO","1030","1015","41090","41360"
"In post","2023","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outside London","AA/AO","140","135","22620","22220"
"In post","2023","Communications","Outside London","EO","355","335","27840","27470"
"In post","2023","Communications","Outside London","G6/G7","375","365","57270","56000"
"In post","2023","Communications","Outside London","SCS level","20","20","80670","79530"
"In post","2023","Communications","Outside London","SEO/HEO","1200","1140","37640","37710"
"In post","2023","Communications","Outside London","Unknown","20","20","37080","33340"
"In post","2023","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","EO","10","10","[c]","[c]"
"In post","2023","Corporate Finance","London","G6/G7","25","25","75710","70650"
"In post","2023","Corporate Finance","London","SCS level","5","5","[c]","[c]"
