"Status","Year","Disability","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Active Travel England","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Active Travel England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Animal and Plant Health Agency","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Building Digital UK","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office (excl. agencies)","London","45","45","42360","39970"
"In post","2023","Declared disabled","Asian","Cabinet Office (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Central Civil Service Fast Stream","London","30","30","30990","30130"
"In post","2023","Declared disabled","Asian","Central Civil Service Fast Stream","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Criminal Injuries Compensation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Crown Prosecution Service","London","40","35","44560","33290"
"In post","2023","Declared disabled","Asian","Crown Prosecution Service","Outside London","50","45","36560","33810"
"In post","2023","Declared disabled","Asian","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Equipment and Support","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Defence Science and Technology Laboratory","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","50","50","50060","48200"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education (excl. agencies)","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education (excl. agencies)","Outside London","35","30","36700","33370"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","35","35","39090","33830"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","20","20","[c]","[c]"
