"Status","Year","Ethnicity","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","London","755","710","45290","45230"
"In post","2023","Asian","Attorney General's Departments","Outside London","475","445","39030","36780"
"In post","2023","Asian","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","545","540","46080","41870"
"In post","2023","Asian","Cabinet Office","Outside London","200","195","40130","33020"
"In post","2023","Asian","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","55","55","50180","46910"
"In post","2023","Asian","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","120","120","50010","43560"
"In post","2023","Asian","Competition and Markets Authority","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","625","615","46190","41360"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Outside London","325","315","34580","31810"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","London","130","130","47770","52760"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Outside London","25","20","[c]","[c]"
"In post","2023","Asian","Department for Education","London","295","285","46120","42170"
"In post","2023","Asian","Department for Education","Outside London","575","565","39800","37590"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","London","215","210","41670","38140"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Outside London","300","290","33180","29240"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","London","270","265","46040","41550"
"In post","2023","Asian","Department for International Trade","Outside London","30","25","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Overseas","15","15","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","London","210","205","47050","40800"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Outside London","110","105","37860","37060"
"In post","2023","Asian","Department for Transport","London","350","340","46320","43750"
"In post","2023","Asian","Department for Transport","Outside London","370","350","32230","27450"
"In post","2023","Asian","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","London","2350","2115","33230","32520"
"In post","2023","Asian","Department for Work and Pensions","Outside London","5515","4970","27800","28120"
"In post","2023","Asian","Department for Work and Pensions","Unknown","30","30","28700","28120"
"In post","2023","Asian","Department of Health and Social Care","London","830","805","44970","41190"
"In post","2023","Asian","Department of Health and Social Care","Outside London","335","315","44100","34530"
"In post","2023","Asian","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","London","35","35","43340","34830"
"In post","2023","Asian","Food Standards Agency","Outside London","35","35","38730","38100"
"In post","2023","Asian","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","London","325","315","45160","39220"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","Outside London","60","60","38260","32750"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","Overseas","110","110","49450","53020"
"In post","2023","Asian","HM Land Registry","London","45","45","38200","31680"
"In post","2023","Asian","HM Land Registry","Outside London","175","160","30320","28080"
"In post","2023","Asian","HM Revenue and Customs","London","1770","1685","42390","39450"
"In post","2023","Asian","HM Revenue and Customs","Outside London","4715","4460","31430","28130"
"In post","2023","Asian","HM Treasury","London","290","290","44680","40070"
"In post","2023","Asian","HM Treasury","Outside London","40","40","42770","42700"
"In post","2023","Asian","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Home Office","London","3080","2875","36200","30410"
"In post","2023","Asian","Home Office","Outside London","1465","1335","27830","25880"
"In post","2023","Asian","Home Office","Overseas","20","20","[c]","[c]"
"In post","2023","Asian","Home Office","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Ministry of Defence","London","395","380","39420","38020"
"In post","2023","Asian","Ministry of Defence","Outside London","1115","1075","36450","33990"
"In post","2023","Asian","Ministry of Defence","Overseas","20","20","[c]","[c]"
"In post","2023","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ministry of Justice","London","1780","1690","36270","33800"
"In post","2023","Asian","Ministry of Justice","Outside London","3265","3000","28340","25480"
"In post","2023","Asian","Ministry of Justice","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","National Crime Agency","London","160","155","41430","39930"
"In post","2023","Asian","National Crime Agency","Outside London","125","120","36810","38310"
"In post","2023","Asian","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","London","5","5","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","London","40","40","43990","43850"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","Outside London","80","80","41200","33130"
"In post","2023","Asian","Office of Gas and Electricity Markets","London","160","160","44150","40000"
"In post","2023","Asian","Office of Gas and Electricity Markets","Outside London","35","35","34210","31760"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","Outside London","35","35","39170","36800"
"In post","2023","Asian","Office of Rail and Road","London","25","25","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Government","London","[c]","[c]","[c]","[c]"
