"Status","Year","Ethnicity","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","Female","Heterosexual / straight","735","685","42450","40800"
"In post","2023","Asian","Attorney General's Departments","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Female","Unknown","90","70","42920","38760"
"In post","2023","Asian","Attorney General's Departments","Male","Heterosexual / straight","315","305","42970","40800"
"In post","2023","Asian","Attorney General's Departments","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Male","Unknown","30","30","46660","52700"
"In post","2023","Asian","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Female","Heterosexual / straight","295","285","45340","38820"
"In post","2023","Asian","Cabinet Office","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Female","Unknown","90","90","35530","30130"
"In post","2023","Asian","Cabinet Office","Male","Heterosexual / straight","245","245","48840","43090"
"In post","2023","Asian","Cabinet Office","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Male","Unknown","80","80","37510","30130"
"In post","2023","Asian","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Female","Heterosexual / straight","55","55","45590","36000"
"In post","2023","Asian","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Male","Heterosexual / straight","55","55","52770","55130"
"In post","2023","Asian","Competition and Markets Authority","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","455","440","42430","41060"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Female","LGBO","20","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Female","Unknown","40","35","31970","26370"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","360","360","42830","41060"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
