"Status","Year","Disability","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Female","Heterosexual / straight","370","350","43930","39880"
"In post","2023","Declared disabled","Commercial","Female","LGBO","35","35","37820","33250"
"In post","2023","Declared disabled","Commercial","Female","Undeclared","45","40","44200","42500"
"In post","2023","Declared disabled","Commercial","Female","Unknown","50","50","43050","34590"
"In post","2023","Declared disabled","Commercial","Male","Heterosexual / straight","245","240","48890","42620"
"In post","2023","Declared disabled","Commercial","Male","LGBO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Male","Undeclared","40","35","43980","42250"
"In post","2023","Declared disabled","Commercial","Male","Unknown","55","55","53120","56000"
"In post","2023","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Female","Heterosexual / straight","155","145","43680","40950"
"In post","2023","Declared disabled","Communications","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","Female","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Male","Heterosexual / straight","80","80","39080","35990"
"In post","2023","Declared disabled","Communications","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Female","Heterosexual / straight","665","585","30100","28120"
"In post","2023","Declared disabled","Counter Fraud","Female","LGBO","70","65","29950","28120"
"In post","2023","Declared disabled","Counter Fraud","Female","Undeclared","90","80","28550","28120"
"In post","2023","Declared disabled","Counter Fraud","Female","Unknown","60","50","30770","28120"
"In post","2023","Declared disabled","Counter Fraud","Male","Heterosexual / straight","365","340","31060","28120"
"In post","2023","Declared disabled","Counter Fraud","Male","LGBO","55","55","30790","28920"
"In post","2023","Declared disabled","Counter Fraud","Male","Undeclared","65","60","29410","28120"
"In post","2023","Declared disabled","Counter Fraud","Male","Unknown","45","40","31750","28130"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Female","Heterosexual / straight","655","620","41650","38500"
"In post","2023","Declared disabled","Digital, Data and Technology","Female","LGBO","125","125","43320","39080"
"In post","2023","Declared disabled","Digital, Data and Technology","Female","Undeclared","95","95","43350","39820"
"In post","2023","Declared disabled","Digital, Data and Technology","Female","Unknown","55","55","39090","34170"
"In post","2023","Declared disabled","Digital, Data and Technology","Male","Heterosexual / straight","960","940","43330","39460"
"In post","2023","Declared disabled","Digital, Data and Technology","Male","LGBO","135","130","43240","39680"
"In post","2023","Declared disabled","Digital, Data and Technology","Male","Undeclared","150","145","42590","39110"
"In post","2023","Declared disabled","Digital, Data and Technology","Male","Unknown","80","75","40410","36490"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Female","Heterosexual / straight","40","40","46210","38780"
"In post","2023","Declared disabled","Economics","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Economics","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Male","Heterosexual / straight","50","50","54550","56900"
"In post","2023","Declared disabled","Economics","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Economics","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Economics","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Female","Heterosexual / straight","475","445","40490","37030"
"In post","2023","Declared disabled","Finance","Female","LGBO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","Female","Undeclared","45","40","31700","28120"
"In post","2023","Declared disabled","Finance","Female","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","Male","Heterosexual / straight","305","295","42720","38120"
"In post","2023","Declared disabled","Finance","Male","LGBO","40","40","40300","35030"
"In post","2023","Declared disabled","Finance","Male","Undeclared","40","40","43020","38470"
"In post","2023","Declared disabled","Finance","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Geography","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Female","Heterosexual / straight","980","920","41300","37690"
"In post","2023","Declared disabled","Human Resources","Female","LGBO","95","90","38600","35010"
"In post","2023","Declared disabled","Human Resources","Female","Undeclared","75","70","38400","34300"
"In post","2023","Declared disabled","Human Resources","Female","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Male","Heterosexual / straight","415","405","38630","34380"
"In post","2023","Declared disabled","Human Resources","Male","LGBO","75","75","43820","38980"
"In post","2023","Declared disabled","Human Resources","Male","Undeclared","55","55","37030","35370"
"In post","2023","Declared disabled","Human Resources","Male","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Female","Heterosexual / straight","55","55","60430","52750"
"In post","2023","Declared disabled","Inspector of Education and Training","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Male","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Female","Heterosexual / straight","110","105","32580","29980"
"In post","2023","Declared disabled","Intelligence Analysis","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Male","Heterosexual / straight","120","115","36510","34300"
"In post","2023","Declared disabled","Intelligence Analysis","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Female","Heterosexual / straight","40","35","44340","39200"
"In post","2023","Declared disabled","Internal Audit","Female","LGBO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Female","Heterosexual / straight","55","55","44620","41550"
"In post","2023","Declared disabled","International Trade","Female","LGBO","15","10","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Male","Heterosexual / straight","40","35","50290","41950"
"In post","2023","Declared disabled","International Trade","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Female","Heterosexual / straight","155","145","33200","30430"
"In post","2023","Declared disabled","Knowledge and Information Management","Female","LGBO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Male","Heterosexual / straight","100","100","36950","33830"
"In post","2023","Declared disabled","Knowledge and Information Management","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Male","Undeclared","20","15","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Female","Heterosexual / straight","525","470","51600","52360"
"In post","2023","Declared disabled","Legal","Female","LGBO","50","50","48540","50530"
"In post","2023","Declared disabled","Legal","Female","Undeclared","70","65","49540","45960"
"In post","2023","Declared disabled","Legal","Female","Unknown","45","40","50660","54800"
"In post","2023","Declared disabled","Legal","Male","Heterosexual / straight","270","265","52030","52790"
"In post","2023","Declared disabled","Legal","Male","LGBO","45","45","55850","55170"
"In post","2023","Declared disabled","Legal","Male","Undeclared","35","35","56200","58630"
"In post","2023","Declared disabled","Legal","Male","Unknown","35","30","52770","56450"
"In post","2023","Declared disabled","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Female","Heterosexual / straight","75","65","52860","40970"
"In post","2023","Declared disabled","Medicine","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Male","Heterosexual / straight","30","30","72310","68800"
"In post","2023","Declared disabled","Medicine","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","Female","Heterosexual / straight","17980","15740","28870","28120"
"In post","2023","Declared disabled","Operational Delivery","Female","LGBO","1705","1620","29170","28120"
"In post","2023","Declared disabled","Operational Delivery","Female","Undeclared","2230","1905","28090","28080"
"In post","2023","Declared disabled","Operational Delivery","Female","Unknown","1335","1110","27380","26920"
"In post","2023","Declared disabled","Operational Delivery","Male","Heterosexual / straight","9400","8830","30030","28120"
"In post","2023","Declared disabled","Operational Delivery","Male","LGBO","1280","1230","29120","28120"
"In post","2023","Declared disabled","Operational Delivery","Male","Undeclared","1390","1295","29780","28120"
"In post","2023","Declared disabled","Operational Delivery","Male","Unknown","825","745","28950","28100"
"In post","2023","Declared disabled","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
