"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Communications","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","London","EO","50","50","27970","27010"
"In post","2023","Attorney General's Departments","Counter Fraud","London","G6","35","35","72790","72030"
"In post","2023","Attorney General's Departments","Counter Fraud","London","G7","40","40","60580","60310"
"In post","2023","Attorney General's Departments","Counter Fraud","London","HEO","35","35","35330","34500"
"In post","2023","Attorney General's Departments","Counter Fraud","London","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","London","SEO","70","70","41880","41400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","EO","10","10","31360","30700"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","G6","10","10","77590","75230"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","G7","25","25","61200","59180"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","HEO","25","25","35620","36260"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","SEO","25","25","44080","42700"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North East (England)","G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","South East (England)","HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Wales","G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","EO","10","10","27420","27400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","HEO","10","10","32380","32520"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","SEO","15","15","40540","39710"
"In post","2023","Attorney General's Departments","Finance","East Midlands (England)","AO","10","10","21970","22870"
"In post","2023","Attorney General's Departments","Finance","East Midlands (England)","EO","15","10","27090","26900"
"In post","2023","Attorney General's Departments","Finance","East Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","East of England","AO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","East of England","HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","London","AO","20","20","23920","24480"
"In post","2023","Attorney General's Departments","Finance","London","EO","20","20","28510","28170"
"In post","2023","Attorney General's Departments","Finance","London","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","London","G7","15","15","56780","56950"
"In post","2023","Attorney General's Departments","Finance","London","HEO","15","15","32280","32660"
"In post","2023","Attorney General's Departments","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","London","SEO","15","15","41020","40540"
"In post","2023","Attorney General's Departments","Finance","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","North West (England)","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","South East (England)","HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","West Midlands (England)","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Yorkshire and The Humber","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Yorkshire and The Humber","EO","15","15","27350","27400"
"In post","2023","Attorney General's Departments","Finance","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Yorkshire and The Humber","HEO","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Yorkshire and The Humber","SEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","London","AO","10","10","24510","24630"
"In post","2023","Attorney General's Departments","Human Resources","London","EO","25","25","28130","28170"
"In post","2023","Attorney General's Departments","Human Resources","London","G6","10","10","70810","70690"
"In post","2023","Attorney General's Departments","Human Resources","London","G7","30","30","56540","55850"
"In post","2023","Attorney General's Departments","Human Resources","London","HEO","35","30","33510","32980"
"In post","2023","Attorney General's Departments","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","London","SEO","25","25","40970","40540"
"In post","2023","Attorney General's Departments","Human Resources","North East (England)","HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","North West (England)","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","North West (England)","EO","10","10","27290","26900"
"In post","2023","Attorney General's Departments","Human Resources","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","North West (England)","G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","North West (England)","HEO","15","15","31560","31330"
"In post","2023","Attorney General's Departments","Human Resources","North West (England)","SEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","West Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Yorkshire and The Humber","EO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Yorkshire and The Humber","G7","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Yorkshire and The Humber","HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","SEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","EO","10","10","28910","28700"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","G7","10","10","56730","55780"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","HEO","10","10","32880","32660"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","SEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","East Midlands (England)","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","East Midlands (England)","G7","200","180","53900","53750"
"In post","2023","Attorney General's Departments","Legal","East Midlands (England)","HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","East Midlands (England)","SEO","15","15","39110","38760"
"In post","2023","Attorney General's Departments","Legal","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","East of England","EO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","East of England","G6","10","10","76580","75780"
"In post","2023","Attorney General's Departments","Legal","East of England","G7","205","185","59080","58820"
"In post","2023","Attorney General's Departments","Legal","East of England","HEO","15","10","36300","36780"
"In post","2023","Attorney General's Departments","Legal","East of England","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","East of England","SEO","30","25","40340","40800"
"In post","2023","Attorney General's Departments","Legal","London","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","London","EO","170","170","30200","28540"
"In post","2023","Attorney General's Departments","Legal","London","G6","840","765","70010","67680"
"In post","2023","Attorney General's Departments","Legal","London","G7","1410","1320","57050","54100"
"In post","2023","Attorney General's Departments","Legal","London","HEO","110","110","42710","45230"
"In post","2023","Attorney General's Departments","Legal","London","SCS level","220","210","87210","82190"
"In post","2023","Attorney General's Departments","Legal","London","SEO","50","45","41060","40800"
"In post","2023","Attorney General's Departments","Legal","North East (England)","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","North East (England)","G6","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","North East (England)","G7","130","120","55100","56450"
"In post","2023","Attorney General's Departments","Legal","North East (England)","HEO","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","North East (England)","SEO","15","10","38760","38760"
"In post","2023","Attorney General's Departments","Legal","North West (England)","EO","20","20","27560","26900"
"In post","2023","Attorney General's Departments","Legal","North West (England)","G6","30","30","72700","71360"
"In post","2023","Attorney General's Departments","Legal","North West (England)","G7","385","360","54770","55040"
"In post","2023","Attorney General's Departments","Legal","North West (England)","HEO","15","15","34960","35000"
"In post","2023","Attorney General's Departments","Legal","North West (England)","SCS level","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","North West (England)","SEO","35","35","38760","38760"
"In post","2023","Attorney General's Departments","Legal","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","South East (England)","EO","15","15","28380","28200"
"In post","2023","Attorney General's Departments","Legal","South East (England)","G6","15","15","79440","76700"
"In post","2023","Attorney General's Departments","Legal","South East (England)","G7","290","270","59900","58820"
"In post","2023","Attorney General's Departments","Legal","South East (England)","HEO","15","10","37740","36780"
"In post","2023","Attorney General's Departments","Legal","South East (England)","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","South East (England)","SEO","25","25","40950","40800"
"In post","2023","Attorney General's Departments","Legal","South West (England)","EO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","South West (England)","G6","25","25","68590","67740"
"In post","2023","Attorney General's Departments","Legal","South West (England)","G7","180","165","54660","54320"
"In post","2023","Attorney General's Departments","Legal","South West (England)","HEO","10","10","37100","35000"
"In post","2023","Attorney General's Departments","Legal","South West (England)","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","South West (England)","SEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","Wales","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","Wales","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","Wales","G7","170","155","54760","55290"
"In post","2023","Attorney General's Departments","Legal","Wales","HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","Wales","SEO","20","20","38920","38760"
"In post","2023","Attorney General's Departments","Legal","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","West Midlands (England)","EO","15","15","26970","26900"
"In post","2023","Attorney General's Departments","Legal","West Midlands (England)","G6","15","15","77100","72620"
"In post","2023","Attorney General's Departments","Legal","West Midlands (England)","G7","255","235","54720","54800"
"In post","2023","Attorney General's Departments","Legal","West Midlands (England)","HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","West Midlands (England)","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","West Midlands (England)","SEO","20","15","38930","38760"
"In post","2023","Attorney General's Departments","Legal","Yorkshire and The Humber","EO","20","20","28680","26900"
"In post","2023","Attorney General's Departments","Legal","Yorkshire and The Humber","G6","70","65","68540","66620"
"In post","2023","Attorney General's Departments","Legal","Yorkshire and The Humber","G7","330","305","54620","53750"
"In post","2023","Attorney General's Departments","Legal","Yorkshire and The Humber","HEO","25","25","38970","35000"
"In post","2023","Attorney General's Departments","Legal","Yorkshire and The Humber","SCS level","15","15","89940","86910"
"In post","2023","Attorney General's Departments","Legal","Yorkshire and The Humber","SEO","25","25","38760","38760"
"In post","2023","Attorney General's Departments","Operational Delivery","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","East Midlands (England)","AO","125","115","22360","22870"
"In post","2023","Attorney General's Departments","Operational Delivery","East Midlands (England)","EO","80","75","27730","27150"
"In post","2023","Attorney General's Departments","Operational Delivery","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","East Midlands (England)","HEO","20","20","32000","31610"
"In post","2023","Attorney General's Departments","Operational Delivery","East Midlands (England)","SEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","East of England","AO","115","105","23510","24480"
"In post","2023","Attorney General's Departments","Operational Delivery","East of England","EO","100","90","28940","28850"
"In post","2023","Attorney General's Departments","Operational Delivery","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","East of England","G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","East of England","HEO","10","10","33090","32660"
"In post","2023","Attorney General's Departments","Operational Delivery","East of England","SEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","London","AO","355","330","24230","24480"
