"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","105","100","41490","39190"
"In post","2023","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","East of England","Bedfordshire and Hertfordshire","Outside London","25","25","48900","43000"
"In post","2023","Analysis","East of England","East Anglia","Outside London","370","350","36780","34970"
"In post","2023","Analysis","East of England","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Inner London - East","London","1000","970","50700","45560"
"In post","2023","Analysis","London","Inner London - West","London","3230","3150","50230","46470"
"In post","2023","Analysis","London","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Outer London - South","London","185","175","46900","43210"
"In post","2023","Analysis","London","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","Outside London","185","180","42090","38470"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","Outside London","170","165","37720","33950"
"In post","2023","Analysis","North West (England)","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cumbria","Outside London","20","20","33100","30320"
"In post","2023","Analysis","North West (England)","Greater Manchester","Outside London","415","405","41390","38210"
"In post","2023","Analysis","North West (England)","Lancashire","Outside London","15","15","40290","39760"
"In post","2023","Analysis","North West (England)","Merseyside","Outside London","200","195","42670","40840"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Eastern Scotland","Outside London","65","65","48490","42920"
"In post","2023","Analysis","Scotland","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Southern Scotland","Outside London","10","10","33750","34940"
"In post","2023","Analysis","Scotland","West Central Scotland","Outside London","95","95","41070","35000"
