"Status","Year","Function_of_post","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","London","G6","10","10","68640","66700"
"In post","2023","Analysis","Digital, Data and Technology","London","G7","25","25","57960","55720"
"In post","2023","Analysis","Digital, Data and Technology","London","HEO","25","25","35570","35410"
"In post","2023","Analysis","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","SEO","30","30","43770","43650"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","G7","20","20","55560","56010"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","HEO","30","30","33800","33440"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","SEO","25","25","41590","40540"
"In post","2023","Analysis","Economics","London","AO","25","25","25020","23210"
"In post","2023","Analysis","Economics","London","EO","110","110","28710","28850"
"In post","2023","Analysis","Economics","London","G6","170","160","71460","70270"
"In post","2023","Analysis","Economics","London","G7","450","440","57900","56220"
"In post","2023","Analysis","Economics","London","HEO","405","405","36140","35410"
"In post","2023","Analysis","Economics","London","SCS level","80","75","93120","84240"
"In post","2023","Analysis","Economics","London","SEO","115","115","44620","44170"
"In post","2023","Analysis","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Outside London","AO","35","35","21680","21200"
"In post","2023","Analysis","Economics","Outside London","EO","60","60","26080","25320"
"In post","2023","Analysis","Economics","Outside London","G6","35","35","72740","69320"
"In post","2023","Analysis","Economics","Outside London","G7","95","95","55220","53190"
"In post","2023","Analysis","Economics","Outside London","HEO","155","155","33250","31800"
"In post","2023","Analysis","Economics","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","Outside London","SEO","60","60","40900","40130"
"In post","2023","Analysis","Economics","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","G7","15","15","57960","58050"
"In post","2023","Analysis","Intelligence Analysis","London","HEO","10","10","36930","36180"
"In post","2023","Analysis","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","SEO","15","15","45090","45120"
"In post","2023","Analysis","Intelligence Analysis","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Outside London","EO","15","15","25570","25040"
"In post","2023","Analysis","Intelligence Analysis","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Outside London","G7","10","10","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Outside London","HEO","30","25","32020","31740"
"In post","2023","Analysis","Intelligence Analysis","Outside London","SEO","25","25","41700","41240"
"In post","2023","Analysis","International Trade","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","G7","10","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","HEO","15","15","34250","34170"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Legal","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","EO","55","55","29160","28500"
"In post","2023","Analysis","Operational Delivery","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","G7","10","10","59660","59290"
"In post","2023","Analysis","Operational Delivery","London","HEO","40","40","36090","35410"
"In post","2023","Analysis","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","SEO","20","20","42570","43210"
"In post","2023","Analysis","Operational Delivery","Outside London","AO","20","20","21410","21200"
"In post","2023","Analysis","Operational Delivery","Outside London","EO","155","135","25980","25600"
"In post","2023","Analysis","Operational Delivery","Outside London","G6","10","10","63360","61850"
"In post","2023","Analysis","Operational Delivery","Outside London","G7","60","60","52200","51460"
"In post","2023","Analysis","Operational Delivery","Outside London","HEO","215","205","31810","31060"
"In post","2023","Analysis","Operational Delivery","Outside London","SEO","170","165","38480","37760"
"In post","2023","Analysis","Operational Delivery","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","London","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Research","London","G6","25","25","71570","70250"
"In post","2023","Analysis","Operational Research","London","G7","100","95","60180","60570"
"In post","2023","Analysis","Operational Research","London","HEO","85","85","37010","36250"
"In post","2023","Analysis","Operational Research","London","SCS level","10","10","81710","80500"
"In post","2023","Analysis","Operational Research","London","SEO","85","80","45830","45560"
"In post","2023","Analysis","Operational Research","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","Outside London","AO","20","20","22480","22500"
"In post","2023","Analysis","Operational Research","Outside London","EO","20","20","26750","26960"
"In post","2023","Analysis","Operational Research","Outside London","G6","20","20","67190","68190"
"In post","2023","Analysis","Operational Research","Outside London","G7","165","155","53010","51460"
"In post","2023","Analysis","Operational Research","Outside London","HEO","130","130","32280","32630"
"In post","2023","Analysis","Operational Research","Outside London","SEO","115","110","40750","39890"
"In post","2023","Analysis","Other","London","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Other","London","EO","60","55","30430","30090"
"In post","2023","Analysis","Other","London","G6","110","95","90900","84100"
"In post","2023","Analysis","Other","London","G7","60","60","58020","57890"
"In post","2023","Analysis","Other","London","HEO","90","85","36860","36180"
"In post","2023","Analysis","Other","London","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Other","London","SEO","65","65","46010","44570"
"In post","2023","Analysis","Other","Outside London","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Other","Outside London","EO","30","30","26560","25920"
"In post","2023","Analysis","Other","Outside London","G6","15","15","75910","71780"
"In post","2023","Analysis","Other","Outside London","G7","30","25","52300","51770"
"In post","2023","Analysis","Other","Outside London","HEO","60","60","32120","31270"
"In post","2023","Analysis","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","Outside London","SEO","55","50","39190","37680"
"In post","2023","Analysis","Other","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","London","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","London","G6","15","15","71890","70920"
"In post","2023","Analysis","Policy","London","G7","45","45","59150","58370"
"In post","2023","Analysis","Policy","London","HEO","45","45","38700","39150"
"In post","2023","Analysis","Policy","London","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","London","SEO","30","30","44160","43760"
"In post","2023","Analysis","Policy","Outside London","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","Outside London","G6","15","10","70000","70570"
"In post","2023","Analysis","Policy","Outside London","G7","25","25","54080","53190"
"In post","2023","Analysis","Policy","Outside London","HEO","35","35","35610","34170"
"In post","2023","Analysis","Policy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","Outside London","SEO","15","15","41670","40820"
"In post","2023","Analysis","Project Delivery","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Outside London","AO","45","45","22930","23340"
"In post","2023","Analysis","Science and Engineering","Outside London","EO","110","105","26010","25970"
"In post","2023","Analysis","Science and Engineering","Outside London","G6","65","65","70010","70550"
"In post","2023","Analysis","Science and Engineering","Outside London","G7","475","450","52740","49400"
"In post","2023","Analysis","Science and Engineering","Outside London","HEO","290","280","30150","30350"
"In post","2023","Analysis","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Outside London","SEO","345","335","39200","39890"
"In post","2023","Analysis","Social Research","London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Social Research","London","G6","55","50","71490","70790"
"In post","2023","Analysis","Social Research","London","G7","190","180","59460","60120"
"In post","2023","Analysis","Social Research","London","HEO","145","145","36690","36520"
"In post","2023","Analysis","Social Research","London","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Social Research","London","SEO","160","155","44260","43760"
"In post","2023","Analysis","Social Research","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","Outside London","EO","10","10","27500","26390"
"In post","2023","Analysis","Social Research","Outside London","G6","30","30","65570","63040"
"In post","2023","Analysis","Social Research","Outside London","G7","175","165","53560","52490"
"In post","2023","Analysis","Social Research","Outside London","HEO","290","275","32170","31560"
"In post","2023","Analysis","Social Research","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Social Research","Outside London","SEO","350","330","40310","39300"
"In post","2023","Analysis","Statistics","London","AA","25","25","23500","23500"
"In post","2023","Analysis","Statistics","London","AO","15","15","25440","25900"
"In post","2023","Analysis","Statistics","London","EO","85","85","30950","30950"
"In post","2023","Analysis","Statistics","London","G6","95","90","71740","70470"
"In post","2023","Analysis","Statistics","London","G7","305","290","59740","59840"
"In post","2023","Analysis","Statistics","London","HEO","335","330","35580","35410"
"In post","2023","Analysis","Statistics","London","SCS level","40","40","88810","82980"
"In post","2023","Analysis","Statistics","London","SEO","290","280","44980","45170"
"In post","2023","Analysis","Statistics","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Outside London","AO","10","10","22260","22220"
"In post","2023","Analysis","Statistics","Outside London","EO","125","120","27370","27140"
"In post","2023","Analysis","Statistics","Outside London","G6","90","85","66040","66410"
"In post","2023","Analysis","Statistics","Outside London","G7","350","335","54400","53190"
"In post","2023","Analysis","Statistics","Outside London","HEO","445","430","33140","33110"
"In post","2023","Analysis","Statistics","Outside London","SCS level","30","30","83300","73880"
"In post","2023","Analysis","Statistics","Outside London","SEO","490","470","40680","40280"
"In post","2023","Analysis","Statistics","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","London","EO","15","15","27900","28000"
"In post","2023","Analysis","Unknown","London","G6","25","25","72110","69640"
"In post","2023","Analysis","Unknown","London","G7","30","30","54510","53500"
"In post","2023","Analysis","Unknown","London","HEO","25","25","36280","35600"
"In post","2023","Analysis","Unknown","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","London","SEO","15","15","42830","41870"
"In post","2023","Analysis","Unknown","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Unknown","Outside London","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Unknown","Outside London","G7","15","15","51370","51890"
"In post","2023","Analysis","Unknown","Outside London","HEO","15","15","32630","32410"
"In post","2023","Analysis","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Outside London","SEO","15","15","39250","39430"
"In post","2023","Commercial","Commercial","London","AO","35","35","24430","23810"
"In post","2023","Commercial","Commercial","London","EO","70","70","29920","29660"
"In post","2023","Commercial","Commercial","London","G6","250","250","75580","71990"
"In post","2023","Commercial","Commercial","London","G7","430","420","61140","58100"
"In post","2023","Commercial","Commercial","London","HEO","225","220","34360","35190"
"In post","2023","Commercial","Commercial","London","SCS level","145","140","122520","118620"
"In post","2023","Commercial","Commercial","London","SEO","245","240","43900","43650"
"In post","2023","Commercial","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Outside London","AA","25","25","21710","22920"
"In post","2023","Commercial","Commercial","Outside London","AO","265","245","23730","22500"
"In post","2023","Commercial","Commercial","Outside London","EO","540","520","27250","27080"
"In post","2023","Commercial","Commercial","Outside London","G6","370","360","73650","71300"
"In post","2023","Commercial","Commercial","Outside London","G7","935","915","58490","56000"
"In post","2023","Commercial","Commercial","Outside London","HEO","1050","1015","33220","32810"
"In post","2023","Commercial","Commercial","Outside London","SCS level","120","115","106900","100710"
"In post","2023","Commercial","Commercial","Outside London","SEO","1365","1320","41240","41590"
"In post","2023","Commercial","Commercial","Outside London","Unknown","165","160","42980","42620"
"In post","2023","Commercial","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Overseas","G7","10","10","[c]","[c]"
"In post","2023","Commercial","Commercial","Overseas","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Overseas","SEO","10","10","68790","69790"
"In post","2023","Commercial","Commercial","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","G7","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","London","HEO","[c]","[c]","[c]","[c]"
