"Status","Year","Disability","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Female","520","485","41840","39300"
"In post","2023","Declared disabled","Analysis","Male","520","500","44120","39890"
"In post","2023","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Female","420","400","44350","40600"
"In post","2023","Declared disabled","Commercial","Male","335","330","50620","43490"
"In post","2023","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Female","220","210","41850","38940"
"In post","2023","Declared disabled","Communications","Male","125","120","41040","37920"
"In post","2023","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Female","1340","1190","31940","28130"
"In post","2023","Declared disabled","Counter Fraud","Male","870","820","33350","29730"
"In post","2023","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Female","585","495","24700","22520"
"In post","2023","Declared disabled","Debt","Male","340","310","24200","22520"
"In post","2023","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Female","1155","1095","40530","37680"
"In post","2023","Declared disabled","Digital, Data & Technology","Male","1445","1410","42050","38470"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Female","755","685","37510","34180"
"In post","2023","Declared disabled","Finance","Male","510","490","40730","37180"
"In post","2023","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Female","260","230","25860","22150"
"In post","2023","Declared disabled","Grants Management","Male","145","140","25700","22150"
"In post","2023","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Female","1345","1260","39920","35410"
"In post","2023","Declared disabled","Human Resources","Male","685","670","38300","34450"
"In post","2023","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Female","50","50","44660","41660"
"In post","2023","Declared disabled","Internal Audit","Male","35","35","47910","44540"
"In post","2023","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Female","920","835","43920","39450"
"In post","2023","Declared disabled","Legal","Male","460","440","47970","52020"
"In post","2023","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Female","25770","22835","30710","28120"
"In post","2023","Declared disabled","No function","Male","15250","14405","32500","28130"
"In post","2023","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Female","1350","1275","42280","38790"
"In post","2023","Declared disabled","Project Delivery","Male","1030","1000","44810","41800"
"In post","2023","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Female","390","365","37190","33990"
"In post","2023","Declared disabled","Property","Male","400","385","39180","35000"
"In post","2023","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Female","285","270","34610","32640"
"In post","2023","Declared disabled","Security","Male","575","555","35250","32640"
"In post","2023","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Female","1545","1445","39950","34730"
"In post","2023","Declared disabled","Unknown","Male","1155","1125","40730","37950"
"In post","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Female","2915","2735","45600","41780"
"In post","2023","Declared non-disabled","Analysis","Male","3385","3325","47980","43750"
"In post","2023","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Female","2455","2345","46510","41800"
