"Status","Year","Disability","Parent_department","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cheshire","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cumbria","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","45","40","39380","31610"
"In post","2023","Declared disabled","Attorney General's Departments","Devon","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Anglia","Outside London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Wales","Outside London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Essex","Outside London","30","30","43390","40800"
"In post","2023","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","30","25","40160","33090"
"In post","2023","Declared disabled","Attorney General's Departments","Greater Manchester","Outside London","50","50","42540","49050"
"In post","2023","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","40","40","40160","34110"
"In post","2023","Declared disabled","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Inner London - West","London","460","435","50310","52790"
"In post","2023","Declared disabled","Attorney General's Departments","Kent","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Lancashire","Outside London","30","30","38750","34640"
"In post","2023","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Merseyside","Outside London","45","45","38560","32000"
"In post","2023","Declared disabled","Attorney General's Departments","North Yorkshire","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Northumberland, and Tyne and Wear","Outside London","30","30","34200","28200"
"In post","2023","Declared disabled","Attorney General's Departments","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Outer London - South","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Outer London - West and North West","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Shropshire and Staffordshire","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","South Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Surrey, East and West Sussex","Outside London","40","35","45670","47450"
"In post","2023","Declared disabled","Attorney General's Departments","Tees Valley and Durham","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","West Midlands","Outside London","60","55","41650","46550"
"In post","2023","Declared disabled","Attorney General's Departments","West Wales and The Valleys","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","West Yorkshire","Outside London","75","70","42000","35000"
"In post","2023","Declared disabled","Cabinet Office","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Derbyshire and Nottinghamshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","East Anglia","Outside London","30","30","[c]","[c]"
