"Status","Year","Age","Disability","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
