"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","105","100","41490","39190"
"In post","2023","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire","5","5","[c]","[c]"
"In post","2023","Analysis","East of England","Bedfordshire and Hertfordshire","25","25","48900","43000"
"In post","2023","Analysis","East of England","East Anglia","370","350","36780","34970"
"In post","2023","Analysis","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Inner London - East","1000","970","50700","45560"
"In post","2023","Analysis","London","Inner London - West","3230","3150","50230","46470"
"In post","2023","Analysis","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Outer London - South","185","175","46900","43210"
"In post","2023","Analysis","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","185","180","42090","38470"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","170","165","37720","33950"
"In post","2023","Analysis","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cumbria","20","20","33100","30320"
"In post","2023","Analysis","North West (England)","Greater Manchester","415","405","41390","38210"
"In post","2023","Analysis","North West (England)","Lancashire","15","15","40290","39760"
"In post","2023","Analysis","North West (England)","Merseyside","200","195","42670","40840"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","5","5","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Eastern Scotland","65","65","48490","42920"
"In post","2023","Analysis","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Southern Scotland","10","10","33750","34940"
"In post","2023","Analysis","Scotland","West Central Scotland","95","95","41070","35000"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","25","20","39270","37650"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","1115","1070","42400","39890"
"In post","2023","Analysis","South East (England)","Kent","15","15","43110","39190"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","25","20","43540","39300"
"In post","2023","Analysis","South West (England)","Cornwall and Isles of Scilly","10","10","30100","30330"
"In post","2023","Analysis","South West (England)","Devon","35","35","35340","34040"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","145","140","34720","30350"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","815","780","42740","40200"
"In post","2023","Analysis","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Wales","East Wales","1145","1100","39120","37760"
"In post","2023","Analysis","Wales","West Wales and The Valleys","20","20","43070","38910"
"In post","2023","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","10","10","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","25","25","36290","33910"
"In post","2023","Analysis","West Midlands (England)","West Midlands","155","155","41870","37840"
"In post","2023","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","5","5","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","North Yorkshire","35","35","41810","38100"
"In post","2023","Analysis","Yorkshire and The Humber","South Yorkshire","355","330","45410","43250"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","255","245","41720","38470"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","115","110","44620","41050"
