"Status","Year","Disability","Parent_department","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Berkshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Birmingham","Outside London","60","55","41420","44050"
"In post","2023","Declared disabled","Attorney General's Departments","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Brighton and Hove","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bristol, City of","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bromley","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Conwy and Denbighshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Croydon","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Devon CC","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Ealing","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Cumbria","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Kent","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Essex Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Heart of Essex","Outside London","30","25","42920","38790"
"In post","2023","Declared disabled","Attorney General's Departments","Herefordshire, County of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Hertfordshire CC","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Kingston upon Hull, City of","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Leeds","Outside London","65","60","42450","35000"
"In post","2023","Declared disabled","Attorney General's Departments","Leicester","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Liverpool","Outside London","45","40","38790","32000"
"In post","2023","Declared disabled","Attorney General's Departments","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Manchester","Outside London","50","45","41980","44000"
"In post","2023","Declared disabled","Attorney General's Departments","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Mid Lancashire","Outside London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North Yorkshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Norwich and East Norfolk","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Nottingham","Outside London","40","40","38250","28850"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Portsmouth","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Sheffield","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Shropshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","South Hampshire","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","South Teesside","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Stoke-on-Trent","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Swansea","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Swindon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Tyneside","Outside London","30","30","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Wakefield","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Walsall","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Warrington","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","West Surrey","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","West Sussex (North East)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","West Sussex (South West)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Westminster","London","460","430","50420","52790"
"In post","2023","Declared disabled","Attorney General's Departments","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
