"Status","Year","Function_of_post","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","AA","Female","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","AA","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","AA","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","AO","Female","Heterosexual / straight","65","60","22880","22500"
"In post","2023","Analysis","AO","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","AO","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","AO","Female","Unknown","30","25","[c]","[c]"
"In post","2023","Analysis","AO","Male","Heterosexual / straight","70","70","23110","23200"
"In post","2023","Analysis","AO","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","AO","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","AO","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","EO","Female","Heterosexual / straight","275","260","27760","27840"
"In post","2023","Analysis","EO","Female","LGBO","35","35","26740","25980"
"In post","2023","Analysis","EO","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","EO","Female","Unknown","120","115","27770","26520"
"In post","2023","Analysis","EO","Male","Heterosexual / straight","280","275","28080","28090"
"In post","2023","Analysis","EO","Male","LGBO","35","35","27080","26500"
"In post","2023","Analysis","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","EO","Male","Unknown","110","110","27510","26310"
"In post","2023","Analysis","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
