"Status","Year","Age","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Economics","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Finance","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Operational Delivery","55","50","23050","22520"
"In post","2023","16-19","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Policy","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Operational Delivery","15","15","[c]","[c]"
"In post","2023","16-19","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Operational Delivery","375","350","23590","22520"
"In post","2023","16-19","Unknown","Operational Research","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Other","40","40","20080","18310"
"In post","2023","16-19","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Project Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Property","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Science and Engineering","50","50","19060","18280"
"In post","2023","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","45","45","23570","22520"
"In post","2023","16-19","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2023","16-19","White","Economics","20","20","[c]","[c]"
"In post","2023","16-19","White","Finance","20","20","[c]","[c]"
"In post","2023","16-19","White","Human Resources","15","15","[c]","[c]"
"In post","2023","16-19","White","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Operational Delivery","450","440","23840","22520"
"In post","2023","16-19","White","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Other","25","25","[c]","[c]"
"In post","2023","16-19","White","Policy","10","10","[c]","[c]"
"In post","2023","16-19","White","Project Delivery","10","10","[c]","[c]"
"In post","2023","16-19","White","Property","15","15","[c]","[c]"
"In post","2023","16-19","White","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Science and Engineering","60","60","20040","19430"
"In post","2023","16-19","White","Security","5","5","[c]","[c]"
"In post","2023","16-19","White","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Unknown","35","35","23870","22520"
"In post","2023","16-19","White","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Commercial","65","65","36570","34400"
"In post","2023","20-29","Asian","Communications","45","45","32830","30440"
"In post","2023","20-29","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Counter Fraud","170","170","29810","28120"
"In post","2023","20-29","Asian","Digital, Data and Technology","315","310","35300","34060"
"In post","2023","20-29","Asian","Economics","140","140","37990","35330"
"In post","2023","20-29","Asian","Finance","180","180","34450","31480"
"In post","2023","20-29","Asian","Geography","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Human Resources","120","115","32100","29660"
"In post","2023","20-29","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Intelligence Analysis","20","20","[c]","[c]"
"In post","2023","20-29","Asian","Internal Audit","10","10","[c]","[c]"
"In post","2023","20-29","Asian","International Trade","40","40","38730","35530"
"In post","2023","20-29","Asian","Knowledge and Information Management","20","20","[c]","[c]"
"In post","2023","20-29","Asian","Legal","120","120","37700","34500"
"In post","2023","20-29","Asian","Medicine","10","10","[c]","[c]"
"In post","2023","20-29","Asian","Operational Delivery","3440","3335","26970","26760"
"In post","2023","20-29","Asian","Operational Research","25","25","[c]","[c]"
"In post","2023","20-29","Asian","Other","190","185","26760","21690"
"In post","2023","20-29","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","Policy","715","710","39110","36670"
"In post","2023","20-29","Asian","Project Delivery","185","185","35530","34370"
"In post","2023","20-29","Asian","Property","65","60","30150","29660"
"In post","2023","20-29","Asian","Psychology","15","15","[c]","[c]"
"In post","2023","20-29","Asian","Science and Engineering","145","140","31890","30650"
"In post","2023","20-29","Asian","Security","35","35","31330","30290"
"In post","2023","20-29","Asian","Social Research","25","25","[c]","[c]"
"In post","2023","20-29","Asian","Statistics","95","95","37100","35830"
"In post","2023","20-29","Asian","Tax","405","395","31560","28130"
"In post","2023","20-29","Asian","Unknown","480","475","33190","31010"
"In post","2023","20-29","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","Commercial","25","25","[c]","[c]"
"In post","2023","20-29","Black","Communications","15","15","[c]","[c]"
"In post","2023","20-29","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","Counter Fraud","60","60","31380","32520"
