"Status","Year","Age","Disability","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","AA/AO","Heterosexual / straight","30","30","21980","21690"
"In post","2023","16-19","Declared disabled","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","AA/AO","Heterosexual / straight","450","435","23300","22520"
"In post","2023","16-19","Declared non-disabled","AA/AO","LGBO","50","50","23710","22520"
"In post","2023","16-19","Declared non-disabled","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","EO","Heterosexual / straight","65","65","27210","27650"
"In post","2023","16-19","Declared non-disabled","EO","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
