"Status","Year","Ethnicity","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","130","115","27080","28120"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","5","5","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","15","15","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","840","790","32600","28130"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","35","30","33020","30320"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","30","25","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","775","695","26610","24360"
"In post","2023","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","145","125","28640","25960"
"In post","2023","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","10","10","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","75","70","29850","28120"
"In post","2023","Asian","East Midlands (England)","Lincolnshire","Lincolnshire CC","25","20","[c]","[c]"
"In post","2023","Asian","East of England","Bedfordshire and Hertfordshire","Bedford","95","85","30060","28120"
"In post","2023","Asian","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","15","10","[c]","[c]"
"In post","2023","Asian","East of England","Bedfordshire and Hertfordshire","Hertfordshire CC","440","405","35530","31280"
"In post","2023","Asian","East of England","Bedfordshire and Hertfordshire","Luton","120","105","27510","27000"
"In post","2023","Asian","East of England","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","East Anglia","Cambridgeshire CC","90","85","37040","32570"
"In post","2023","Asian","East of England","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","East Anglia","Norwich and East Norfolk","15","15","[c]","[c]"
"In post","2023","Asian","East of England","East Anglia","Peterborough","225","185","25560","22400"
"In post","2023","Asian","East of England","East Anglia","Suffolk CC","50","50","30170","28120"
"In post","2023","Asian","East of England","Essex","Essex Haven Gateway","20","20","[c]","[c]"
"In post","2023","Asian","East of England","Essex","Essex Thames Gateway","40","40","28820","25610"
"In post","2023","Asian","East of England","Essex","Heart of Essex","40","35","33300","29150"
"In post","2023","Asian","East of England","Essex","Southend-on-Sea","5","5","[c]","[c]"
"In post","2023","Asian","East of England","Essex","Thurrock","20","20","[c]","[c]"
"In post","2023","Asian","East of England","Essex","West Essex","55","50","41820","31280"
"In post","2023","Asian","London","Inner London - East","Hackney and Newham","1490","1400","39070","34370"
"In post","2023","Asian","London","Inner London - East","Haringey and Islington","185","170","31860","32520"
"In post","2023","Asian","London","Inner London - East","Lambeth","240","230","39090","34450"
"In post","2023","Asian","London","Inner London - East","Lewisham and Southwark","95","90","35090","32520"
"In post","2023","Asian","London","Inner London - East","Tower Hamlets","1130","1090","43970","40000"
"In post","2023","Asian","London","Inner London - West","Camden and City of London","290","275","33850","29660"
"In post","2023","Asian","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","110","105","34270","33800"
"In post","2023","Asian","London","Inner London - West","Wandsworth","90","85","31140","30840"
"In post","2023","Asian","London","Inner London - West","Westminster","6090","5920","45280","41550"
"In post","2023","Asian","London","Outer London - East and North East","Barking & Dagenham and Havering","170","155","32780","32520"
"In post","2023","Asian","London","Outer London - East and North East","Bexley and Greenwich","110","100","32800","32520"
"In post","2023","Asian","London","Outer London - East and North East","Enfield","55","50","32750","32520"
"In post","2023","Asian","London","Outer London - East and North East","Redbridge and Waltham Forest","540","480","30090","30240"
"In post","2023","Asian","London","Outer London - South","Bromley","40","35","34370","32520"
"In post","2023","Asian","London","Outer London - South","Croydon","1795","1685","37420","32580"
"In post","2023","Asian","London","Outer London - South","Merton, Kingston upon Thames and Sutton","80","75","35100","32520"
"In post","2023","Asian","London","Outer London - West and North West","Barnet","425","405","40530","33330"
"In post","2023","Asian","London","Outer London - West and North West","Brent","135","120","32140","32520"
"In post","2023","Asian","London","Outer London - West and North West","Ealing","160","145","33130","32520"
"In post","2023","Asian","London","Outer London - West and North West","Harrow and Hillingdon","1210","1100","32190","30200"
"In post","2023","Asian","London","Outer London - West and North West","Hounslow and Richmond upon Thames","620","570","32380","30280"
"In post","2023","Asian","North East (England)","Northumberland, and Tyne and Wear","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","Northumberland, and Tyne and Wear","Sunderland","40","40","26160","27890"
"In post","2023","Asian","North East (England)","Northumberland, and Tyne and Wear","Tyneside","485","460","31490","28120"
"In post","2023","Asian","North East (England)","Tees Valley and Durham","Darlington","50","45","37850","31450"
"In post","2023","Asian","North East (England)","Tees Valley and Durham","Durham","55","45","29150","25880"
"In post","2023","Asian","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","20","15","[c]","[c]"
"In post","2023","Asian","North East (England)","Tees Valley and Durham","South Teesside","40","35","27710","24520"
"In post","2023","Asian","North West (England)","Cheshire","Cheshire East","45","45","28630","27140"
"In post","2023","Asian","North West (England)","Cheshire","Cheshire West and Chester","5","5","[c]","[c]"
"In post","2023","Asian","North West (England)","Cheshire","Warrington","40","35","36120","34670"
"In post","2023","Asian","North West (England)","Cumbria","East Cumbria","10","10","[c]","[c]"
"In post","2023","Asian","North West (England)","Cumbria","West Cumbria","5","5","[c]","[c]"
"In post","2023","Asian","North West (England)","Greater Manchester","Greater Manchester North East","95","90","28700","28120"
"In post","2023","Asian","North West (England)","Greater Manchester","Greater Manchester North West","100","90","26080","25870"
"In post","2023","Asian","North West (England)","Greater Manchester","Greater Manchester South East","60","55","25930","22480"
"In post","2023","Asian","North West (England)","Greater Manchester","Greater Manchester South West","1105","1055","31790","28130"
"In post","2023","Asian","North West (England)","Greater Manchester","Manchester","605","580","34270","30440"
"In post","2023","Asian","North West (England)","Lancashire","Blackburn with Darwen","105","95","28270","28120"
"In post","2023","Asian","North West (England)","Lancashire","Blackpool","140","135","31360","28120"
"In post","2023","Asian","North West (England)","Lancashire","Chorley and West Lancashire","25","20","[c]","[c]"
"In post","2023","Asian","North West (England)","Lancashire","East Lancashire","60","55","26850","28120"
"In post","2023","Asian","North West (England)","Lancashire","Lancaster and Wyre","10","10","[c]","[c]"
"In post","2023","Asian","North West (England)","Lancashire","Mid Lancashire","795","710","26060","22520"
"In post","2023","Asian","North West (England)","Merseyside","East Merseyside","10","10","[c]","[c]"
"In post","2023","Asian","North West (England)","Merseyside","Liverpool","170","160","32320","27650"
"In post","2023","Asian","North West (England)","Merseyside","Sefton","60","55","35290","28120"
"In post","2023","Asian","North West (England)","Merseyside","Wirral","20","20","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Northern Ireland","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Northern Ireland","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Northern Ireland","Belfast","15","15","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Northern Ireland","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
