"Status","Year","Disability","Parent_department","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Heterosexual / straight","60","55","38730","31610"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Heterosexual / straight","45","40","42580","38760"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","Heterosexual / straight","350","325","49900","52020"
"In post","2023","Declared disabled","Attorney General's Departments","London","LGBO","55","55","49040","52020"
"In post","2023","Declared disabled","Attorney General's Departments","London","Undeclared","40","35","52470","54170"
"In post","2023","Declared disabled","Attorney General's Departments","London","Unknown","30","30","48620","54700"
"In post","2023","Declared disabled","Attorney General's Departments","North East (England)","Heterosexual / straight","40","35","34000","28850"
"In post","2023","Declared disabled","Attorney General's Departments","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North West (England)","Heterosexual / straight","110","100","41110","33690"
"In post","2023","Declared disabled","Attorney General's Departments","North West (England)","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North West (England)","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
