"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","AA/AO","Female","40","40","21090","20980"
"In post","2023","16-19","Attorney General's Departments","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","AA/AO","Female","55","50","20910","22500"
"In post","2023","16-19","Department for Transport","AA/AO","Male","35","30","20660","19000"
"In post","2023","16-19","Department for Transport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","AA/AO","Female","35","30","21720","21690"
"In post","2023","16-19","Department for Work and Pensions","AA/AO","Male","30","30","22170","21690"
"In post","2023","16-19","Department for Work and Pensions","EO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Unknown","Female","5","5","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Unknown","Male","20","20","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","AA/AO","Female","90","85","22720","22520"
"In post","2023","16-19","HM Revenue and Customs","AA/AO","Male","90","85","22770","22520"
"In post","2023","16-19","HM Revenue and Customs","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","EO","Male","15","15","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","AA/AO","Female","60","50","22880","22400"
"In post","2023","16-19","Home Office","AA/AO","Male","50","45","23320","22400"
"In post","2023","16-19","Home Office","EO","Female","15","15","[c]","[c]"
"In post","2023","16-19","Home Office","EO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","AA/AO","Female","45","45","20580","20500"
"In post","2023","16-19","Ministry of Defence","AA/AO","Male","130","130","19740","19430"
"In post","2023","16-19","Ministry of Defence","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","Male","35","35","18850","18280"
"In post","2023","16-19","Ministry of Justice","AA/AO","Female","170","165","26000","24070"
"In post","2023","16-19","Ministry of Justice","AA/AO","Male","140","140","26320","28420"
"In post","2023","16-19","Ministry of Justice","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Unknown","Female","30","25","20140","19090"
"In post","2023","16-19","Ministry of Justice","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","AA/AO","Female","40","40","23170","22920"
"In post","2023","16-19","Scottish Government","AA/AO","Male","40","35","23090","23130"
"In post","2023","16-19","The National Archives","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","EO","Female","10","10","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Welsh Government","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Welsh Government","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","AA/AO","Female","395","385","23090","22870"
"In post","2023","20-29","Attorney General's Departments","AA/AO","Male","175","175","22760","22870"
"In post","2023","20-29","Attorney General's Departments","EO","Female","460","455","28030","27760"
"In post","2023","20-29","Attorney General's Departments","EO","Male","165","165","28240","27760"
"In post","2023","20-29","Attorney General's Departments","G6/G7","Female","135","135","52140","52020"
"In post","2023","20-29","Attorney General's Departments","G6/G7","Male","60","60","52350","52020"
"In post","2023","20-29","Attorney General's Departments","SEO/HEO","Female","215","215","37070","38760"
"In post","2023","20-29","Attorney General's Departments","SEO/HEO","Male","120","120","37400","38760"
"In post","2023","20-29","Cabinet Office","AA/AO","Female","80","75","22570","21720"
"In post","2023","20-29","Cabinet Office","AA/AO","Male","55","55","22730","21720"
"In post","2023","20-29","Cabinet Office","EO","Female","165","160","26910","28050"
"In post","2023","20-29","Cabinet Office","EO","Male","150","150","26790","27500"
"In post","2023","20-29","Cabinet Office","G6/G7","Female","210","210","57680","56430"
"In post","2023","20-29","Cabinet Office","G6/G7","Male","185","185","57890","56430"
"In post","2023","20-29","Cabinet Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","SEO/HEO","Female","1275","1275","32370","31640"
"In post","2023","20-29","Cabinet Office","SEO/HEO","Male","855","855","32800","32560"
"In post","2023","20-29","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","EO","Female","10","10","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","EO","Male","15","15","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","20-29","Charity Commission","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Charity Commission","EO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Charity Commission","EO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Charity Commission","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","20-29","Charity Commission","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","EO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","EO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","SEO/HEO","Female","35","35","35350","34110"
"In post","2023","20-29","Competition and Markets Authority","SEO/HEO","Male","45","45","36270","34110"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","Female","185","180","21900","22180"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","Male","150","150","21730","21380"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","EO","Female","245","240","27000","25610"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","EO","Male","240","240","27060","26650"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","Female","320","315","56190","55120"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","Male","340","340","57010","55120"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
