"Status","Year","Disability","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","London","AA/AO","Female","840","740","26330","25610"
"In post","2023","Declared disabled","London","AA/AO","Male","525","500","27250","25610"
"In post","2023","Declared disabled","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","EO","Female","1570","1440","31520","32520"
"In post","2023","Declared disabled","London","EO","Male","845","805","31780","31950"
"In post","2023","Declared disabled","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","G6/G7","Female","1375","1315","61910","60000"
"In post","2023","Declared disabled","London","G6/G7","Male","1105","1085","62560","60940"
"In post","2023","Declared disabled","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","SCS level","Female","180","170","91110","83310"
"In post","2023","Declared disabled","London","SCS level","Male","155","155","96070","84400"
"In post","2023","Declared disabled","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","SEO/HEO","Female","2055","1985","39510","39150"
"In post","2023","Declared disabled","London","SEO/HEO","Male","1480","1455","40330","39870"
"In post","2023","Declared disabled","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","Unknown","Female","345","330","35940","33820"
"In post","2023","Declared disabled","London","Unknown","Male","110","105","37430","34820"
"In post","2023","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Outside London","AA/AO","Female","9120","7630","22740","21780"
"In post","2023","Declared disabled","Outside London","AA/AO","Male","6185","5750","24010","22330"
"In post","2023","Declared disabled","Outside London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Outside London","EO","Female","9250","8100","28220","28120"
"In post","2023","Declared disabled","Outside London","EO","Male","5295","4995","28860","28120"
"In post","2023","Declared disabled","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Outside London","G6/G7","Female","2215","2100","57970","56180"
"In post","2023","Declared disabled","Outside London","G6/G7","Male","1830","1775","59080","57880"
"In post","2023","Declared disabled","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Outside London","SCS level","Female","100","100","86570","81600"
"In post","2023","Declared disabled","Outside London","SCS level","Male","110","110","93130","85020"
"In post","2023","Declared disabled","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Outside London","SEO/HEO","Female","6825","6410","37040","35000"
"In post","2023","Declared disabled","Outside London","SEO/HEO","Male","5130","4945","38020","36990"
"In post","2023","Declared disabled","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Outside London","Unknown","Female","2890","2670","30650","29050"
"In post","2023","Declared disabled","Outside London","Unknown","Male","945","905","32770","29050"
"In post","2023","Declared disabled","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6/G7","Male","30","30","61500","60080"
"In post","2023","Declared disabled","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO/HEO","Female","35","35","37740","35170"
"In post","2023","Declared disabled","Overseas","SEO/HEO","Male","65","65","40850","35810"
"In post","2023","Declared disabled","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","AA/AO","Female","3920","3450","26570","25610"
"In post","2023","Declared non-disabled","London","AA/AO","Male","3005","2910","28320","26400"
"In post","2023","Declared non-disabled","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","EO","Female","7120","6540","31300","31330"
"In post","2023","Declared non-disabled","London","EO","Male","4880","4740","31590","31480"
"In post","2023","Declared non-disabled","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","G6/G7","Female","9865","9365","62020","59850"
"In post","2023","Declared non-disabled","London","G6/G7","Male","9550","9400","63030","61390"
"In post","2023","Declared non-disabled","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","SCS level","Female","1500","1415","88670","81060"
"In post","2023","Declared non-disabled","London","SCS level","Male","1515","1495","93940","85210"
"In post","2023","Declared non-disabled","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","SEO/HEO","Female","11030","10645","40350","40000"
"In post","2023","Declared non-disabled","London","SEO/HEO","Male","9565","9430","40960","40800"
"In post","2023","Declared non-disabled","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","Unknown","Female","1070","1010","35680","33820"
"In post","2023","Declared non-disabled","London","Unknown","Male","425","415","36610","34820"
"In post","2023","Declared non-disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Outside London","AA/AO","Female","42440","36275","23200","22400"
"In post","2023","Declared non-disabled","Outside London","AA/AO","Male","31470","30175","25080","22520"
"In post","2023","Declared non-disabled","Outside London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Outside London","EO","Female","38560","34255","28170","28120"
"In post","2023","Declared non-disabled","Outside London","EO","Male","27830","26755","28810","28120"
"In post","2023","Declared non-disabled","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Outside London","G6/G7","Female","14590","13820","59190","56870"
"In post","2023","Declared non-disabled","Outside London","G6/G7","Male","15545","15170","60040","57970"
"In post","2023","Declared non-disabled","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Outside London","SCS level","Female","845","815","89540","83460"
"In post","2023","Declared non-disabled","Outside London","SCS level","Male","1050","1025","92840","85200"
"In post","2023","Declared non-disabled","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Outside London","SEO/HEO","Female","38145","35870","37550","36020"
"In post","2023","Declared non-disabled","Outside London","SEO/HEO","Male","34270","33420","38520","37680"
"In post","2023","Declared non-disabled","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Outside London","Unknown","Female","9605","8910","30600","29050"
"In post","2023","Declared non-disabled","Outside London","Unknown","Male","3855","3710","34840","30810"
"In post","2023","Declared non-disabled","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","AA/AO","Female","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","EO","Female","65","60","35170","34260"
"In post","2023","Declared non-disabled","Overseas","EO","Male","65","65","34350","32750"
"In post","2023","Declared non-disabled","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","G6/G7","Female","235","230","61790","60080"
"In post","2023","Declared non-disabled","Overseas","G6/G7","Male","345","345","62360","59180"
"In post","2023","Declared non-disabled","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","SCS level","Female","80","80","92440","90060"
"In post","2023","Declared non-disabled","Overseas","SCS level","Male","105","105","86650","77610"
"In post","2023","Declared non-disabled","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","SEO/HEO","Female","325","325","39140","35280"
"In post","2023","Declared non-disabled","Overseas","SEO/HEO","Male","570","570","41810","38600"
"In post","2023","Declared non-disabled","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","Unknown","Female","45","45","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","Unknown","Male","80","80","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA/AO","Female","60","55","22920","21690"
"In post","2023","Declared non-disabled","Unknown","AA/AO","Male","55","55","24830","23230"
"In post","2023","Declared non-disabled","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","EO","Female","115","105","28430","28120"
"In post","2023","Declared non-disabled","Unknown","EO","Male","115","110","27910","27650"
"In post","2023","Declared non-disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","G6/G7","Female","45","40","57510","55790"
"In post","2023","Declared non-disabled","Unknown","G6/G7","Male","40","40","62810","60780"
"In post","2023","Declared non-disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","Female","75","70","38790","36460"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","Male","80","75","42210","41890"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","London","AA/AO","Female","425","370","27130","26010"
"In post","2023","Undeclared","London","AA/AO","Male","395","375","28870","26630"
"In post","2023","Undeclared","London","EO","Female","580","535","31580","31750"
"In post","2023","Undeclared","London","EO","Male","465","450","32550","32250"
"In post","2023","Undeclared","London","G6/G7","Female","810","780","62090","60050"
"In post","2023","Undeclared","London","G6/G7","Male","945","935","63940","63450"
"In post","2023","Undeclared","London","SCS level","Female","110","105","95020","85580"
"In post","2023","Undeclared","London","SCS level","Male","125","120","95700","84450"
"In post","2023","Undeclared","London","SEO/HEO","Female","920","890","40190","39790"
"In post","2023","Undeclared","London","SEO/HEO","Male","990","970","41600","41360"
"In post","2023","Undeclared","London","Unknown","Female","85","80","35820","33820"
"In post","2023","Undeclared","London","Unknown","Male","35","35","37400","33050"
"In post","2023","Undeclared","Outside London","AA/AO","Female","3345","2845","23700","22400"
"In post","2023","Undeclared","Outside London","AA/AO","Male","3790","3495","26460","23230"
"In post","2023","Undeclared","Outside London","EO","Female","2495","2235","28440","28120"
"In post","2023","Undeclared","Outside London","EO","Male","2895","2750","30160","28120"
"In post","2023","Undeclared","Outside London","G6/G7","Female","905","865","58560","56330"
"In post","2023","Undeclared","Outside London","G6/G7","Male","1235","1205","60230","57970"
"In post","2023","Undeclared","Outside London","SCS level","Female","60","55","99010","85310"
"In post","2023","Undeclared","Outside London","SCS level","Male","70","70","105680","102950"
"In post","2023","Undeclared","Outside London","SEO/HEO","Female","2790","2625","37830","36990"
"In post","2023","Undeclared","Outside London","SEO/HEO","Male","3380","3280","39080","38200"
"In post","2023","Undeclared","Outside London","Unknown","Female","550","510","31190","29050"
"In post","2023","Undeclared","Outside London","Unknown","Male","315","300","36070","33340"
"In post","2023","Undeclared","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","EO","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Overseas","EO","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Overseas","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","Undeclared","Overseas","G6/G7","Male","30","30","[c]","[c]"
"In post","2023","Undeclared","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Overseas","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Undeclared","Overseas","SEO/HEO","Male","45","45","45380","40900"
"In post","2023","Undeclared","Overseas","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Overseas","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","EO","Female","10","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","EO","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","AA/AO","Female","1460","1385","27300","26400"
"In post","2023","Unknown","London","AA/AO","Male","1235","1210","28620","26630"
"In post","2023","Unknown","London","EO","Female","2420","2340","31110","29890"
"In post","2023","Unknown","London","EO","Male","1930","1895","31560","29890"
"In post","2023","Unknown","London","G6/G7","Female","3370","3240","60980","59180"
"In post","2023","Unknown","London","G6/G7","Male","2940","2905","62340","60180"
"In post","2023","Unknown","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","SCS level","Female","405","385","93260","84000"
"In post","2023","Unknown","London","SCS level","Male","420","410","99350","89760"
"In post","2023","Unknown","London","SEO/HEO","Female","4970","4875","39060","39480"
"In post","2023","Unknown","London","SEO/HEO","Male","4265","4230","39700","39790"
"In post","2023","Unknown","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Unknown","Female","275","255","31030","28580"
"In post","2023","Unknown","London","Unknown","Male","115","110","30970","28580"
"In post","2023","Unknown","Outside London","AA/AO","Female","14710","13160","23310","22520"
"In post","2023","Unknown","Outside London","AA/AO","Male","13495","13050","24660","22520"
